bic_nombre,bic_categoria,bic_entorno,municipio_nombre,bic_descripcion,boletin1_nombre,boletin1_url,boletin2_nombre,boletin2_url
ERMITA DE SAN DIEGO,MONUMENTO,verdadero,LAGUNA (LA),"Bien de Interés Cultural con categoría de Monumento de la “Ermita de San Diego”, en el municipio de San Cristóbal de La Laguna, declarado por Decreto 100/2015, de 22 de mayo, del Gobierno de Canarias, publicado en el BOC nº 103 de 1 de junio de 2015", BOC nº 103 de 1 de junio de 2015,http://www.gobiernodecanarias.org/boc/2015/103/index.html,,
IGLESIA DE SAN ANTONIO DE PADUA,MONUMENTO,verdadero,GRANADILLA DE ABONA,"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de San Antonio de Padua”, en el municipio de Granadilla, declarado por Decreto 38/2006, de 9 de mayo, del Gobierno de Canarias, publicado en el BOC nº 96 de 19 de mayo de 2006.",BOC nº 96 de 19 de mayo de 2006,http://www.gobiernodecanarias.org/boc/2006/096/013.html,,
CASTILLO DE SAN JUAN,MONUMENTO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento del “Castillo de San Juan”, en el municipio de Santa Cruz, declarado por ministerio de la ley según Decreto de 22 de abril de 1949, publicado en el BOE nº 125 de 5 de mayo de 1949 y delimitación por Decreto 83/2003, de 12 de mayo, del Gobierno de Canarias, publicado en el BOC nº 109 de 10 de junio de 2003.",BOE Nº 125 de 5 de mayo de 1949,https://www.boe.es/datos/pdfs/BOE//1949/125/A02058-02059.pdf,BOC nº 109 de 10 de junio de 2003,http://www.gobiernodecanarias.org/boc/2003/109/008.html
IGLESIA DE SAN FRANCISCO,MONUMENTO,verdadero,PUERTO DE LA CRUZ,"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de San Francisco”, en el municipio del Puerto de la Cruz, declarado por Decreto 62/2013, de 31 de mayo, del Gobierno de Canarias, publicado en el BOC nº 111 de 12 de junio de 2013.",BOC nº 111 de 12 de junio de 2013,http://www.gobiernodecanarias.org/boc/2013/111/004.html,,
IGLESIA DE SANTA URSULA,MONUMENTO,verdadero,SANTA URSULA,"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de Santa Úrsula”, en el municipio homónimo, declarado por Decreto 73/2006, de 31 de mayo, del Gobierno de Canarias, publicado en el BOC nº 113 de 13 de junio de 2006.",BOC nº 113 de 13 de junio de 2006,http://www.gobiernodecanarias.org/boc/2006/113/004.html,,
CASTILLO DE SAN ANDRÉS,MONUMENTO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento del “Castillo de San Andrés”, en el municipio de Santa Cruz, declarado por Decreto de 22 de abril de 1949, del Ministerio de Educación Nacional, publicado en el BOE nº 125 de 5 de mayo de 1949, y delimitación del entorno de protección por Decreto 308/1999, de 19 de noviembre, del Gobierno de Canarias, publicado en el BOC nº 159 de 3 de diciembre de 1999.",BOE nº 125 de 5 de mayo de 1949,https://www.boe.es/datos/pdfs/BOE//1949/125/A02058-02059.pdf,BOC nº 159 de 3 de diciembre de 1999,http://www.gobiernodecanarias.org/boc/1999/159/016.html
INMUEBLE EN LA CALLE CALVARIO Nº 52 Y 54. CASA HERNÁNDEZ DEL ÁLAMO,MONUMENTO,verdadero,OROTAVA (LA),"Bien de Interés Cultural con categoría de Monumento de los “Inmuebles sitos en la calle Calvario 52 y 54”, en el municipio de La Orotava, declarado por Decreto 63/2002, de 20 de mayo, del Gobierno de Canarias, publicado en el BOC nº 66 de 24 de mayo de 2002. ", BOC nº 66 de 24 de mayo de 2002,http://www.gobiernodecanarias.org/boc/2002/066/007.html,,
IGLESIA DE NUESTRA SEÑORA DE LAS NIEVES DE TAGANANA,MONUMENTO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de Nuestra Señora de las Nieves de Taganana”, en el municipio de Santa Cruz, declarado por Decreto 130/2006, de 26 de septiembre, del Gobierno de Canarias, publicado en el BOC nº 196 de 6 de octubre de 2006.",BOC nº 196 de 6 de octubre de 2006,http://www.gobiernodecanarias.org/boc/2006/196/005.html,,
IGLESIA DE SAN ANTONIO DE PADUA,MONUMENTO,verdadero,TANQUE (EL),"Bien de Interés Cultural con categoría de Monumento de la “Iglesia de San Antonio de Padua”, en el municipio de El Tanque, declarado por Decreto 117/2011, de 17 de mayo, del Gobierno de Canarias, publicado en el BOC nº 106 de 31 de mayo de 2011.",BOC nº 106 de 31 de mayo de 2011,http://www.gobiernodecanarias.org/boc/2011/106/011.html,,
TEMPLO  MASONICO,MONUMENTO,verdadero,SANTA CRUZ DE TENERIFE,"Bien de Interés Cultural con categoría de Monumento del “Templo Masónico”, en el municipio de Santa Cruz, declarado por Decreto 390/2007, de 6 de noviembre, del Gobierno de Canarias, publicado en el BOC nº 229 de 15 de noviembre de 2007.",BOC nº 229 de 15 de noviembre de 2007,https://www.gobiernodecanarias.org/boc/2007/229/002.html,,
